relationship_quality
good
excellent
good
good
excellent
good
excellent
excellent
excellent
good
good
excellent
good
excellent
excellent
excellent
excellent
excellent
fair
good
excellent
excellent
excellent
poor
excellent
fair
excellent
excellent
good
excellent
good
excellent
good
good
good
excellent
good
excellent
excellent
excellent
good
excellent
good
excellent
excellent
poor
good
excellent
excellent
excellent
excellent
excellent
good
good
excellent
excellent
fair
excellent
fair
good
good
excellent
good
fair
excellent
excellent
good
excellent
excellent
excellent
excellent
excellent
excellent
excellent
excellent
good
fair
excellent
good
excellent
good
excellent
good
excellent
good
excellent
excellent
good
good
good
good
excellent
excellent
excellent
excellent
good
excellent
fair
excellent
excellent
good
good
excellent
good
excellent
good
good
excellent
good
poor
excellent
excellent
excellent
excellent
excellent
excellent
good
excellent
excellent
good
excellent
excellent
excellent
excellent
excellent
good
excellent
good
good
excellent
good
fair
fair
excellent
fair
good
good
good
excellent
good
good
fair
excellent
excellent
excellent
good
poor
excellent
excellent
fair
excellent
good
good
excellent
excellent
excellent
good
excellent
excellent
good
excellent
good
good
good
excellent
excellent
good
good
fair
good
excellent
excellent
very_poor
fair
good
fair
fair
excellent
excellent
fair
excellent
excellent
excellent
good
good
good
good
excellent
excellent
excellent
excellent
excellent
good
excellent
good
good
good
good
good
good
good
excellent
excellent
excellent
excellent
good
excellent
good
excellent
good
excellent
excellent
fair
good
good
good
fair
excellent
excellent
good
good
excellent
fair
good
excellent
excellent
excellent
good
good
excellent
good
good
good
excellent
excellent
good
excellent
excellent
good
good
excellent
excellent
good
excellent
fair
excellent
excellent
excellent
excellent
excellent
good
excellent
excellent
excellent
excellent
good
excellent
excellent
fair
good
excellent
excellent
excellent
excellent
good
good
excellent
good
excellent
excellent
excellent
fair
excellent
excellent
excellent
excellent
good
fair
excellent
excellent
excellent
excellent
fair
excellent
excellent
excellent
excellent
excellent
fair
excellent
good
good
excellent
excellent
excellent
good
excellent
good
excellent
good
fair
good
excellent
excellent
good
poor
excellent
excellent
good
good
good
excellent
excellent
good
excellent
fair
good
excellent
good
good
good
good
good
good
excellent
good
fair
excellent
excellent
good
excellent
good
excellent
good
excellent
excellent
good
good
excellent
excellent
good
good
excellent
excellent
excellent
excellent
poor
good
excellent
good
excellent
good
excellent
good
good
excellent
excellent
excellent
good
excellent
excellent
excellent
excellent
good
good
excellent
good
fair
fair
fair
good
good
excellent
fair
excellent
good
excellent
good
good
excellent
excellent
excellent
excellent
good
excellent
excellent
excellent
excellent
fair
good
good
excellent
excellent
excellent
excellent
good
good
fair
fair
excellent
excellent
excellent
excellent
good
good
excellent
good
excellent
excellent
good
good
excellent
good
excellent
fair
excellent
excellent
excellent
excellent
excellent
fair
excellent
excellent
good
excellent
excellent
excellent
good
excellent
excellent
excellent
excellent
good
excellent
fair
good
good
good
excellent
good
excellent
excellent
good
poor
good
good
good
excellent
excellent
fair
good
excellent
excellent
excellent
excellent
good
good
good
good
excellent
excellent
excellent
good
good
excellent
good
good
excellent
excellent
good
excellent
excellent
fair
good
poor
